date,user_id,sex,age_skin_type,rate,content,product_url
2017.2.21,우진쨔응,f,17세 · 복합성 ·,good,남자친구가 요즘 자기가 못생겨진것같다며 나도 화장품사달라해서 생일선물로 사줬더니,/product/34094
2017.2.19,jwparis30,m,33세 · 민감성 ·,best,생각보다 평점이 낮아서 놀랐지만.. 남자들이 뭔가 피부가 좀 더 나아져 보이고싶지만 파데까지 써가면서 오해받을것만 같은 화장을 하고싶진 않다면 써볼만한 아이템. 제품은 나쁘지않아요,/product/34094
2017.1.25,pnh1502,f,24세 · 복합성 ·,soso,오빠 사다줬는데 좀 티가 난다고 하더라고요. 바르면 매트합니다. 기초를 촉촉히 해야 할 듯. 코에 낍니다. 재구매 의사는 없습니다.,/product/34094
2017.1.21,도리등등,f,37세 · 지성 ·,bad,피부까만 사람이 쓰기엔 ㅂㄹ,/product/34094
2017.1.21,뽀루리야,f,27세 · 건성 ·,bad,남자꺼치고 색이너무 밝게나온듯,/product/34094
2017.1.8,현대시인,m,21세 · 건성 ·,bad,바르기 전 주위에서 한번이라도 좀 검은 피부다 라는 소리 들으셨다면 이제품에서 손을 떼세요,/product/34094
2016.12.14,사하노라,f,27세 · 민감성 ·,soso,제 남자친구는 피부가 많이 하얀편에 속하는데 그래서 그런지ㅠㅠ...,/product/34094
2016.11.17,FACO,m,25세 · 건성 ·,bad,사실 대부분의 남성화장품이 뭐 기름잡아주고 피지조절 이런 기능은있겠지만 다른 본품들에 비해 성능 하위호환시키고 남자전용이라는 이름 붙여 구매를 조금 덜 껄끄럽게 만들어주는 상술이라는 생각을 하는 비관적인 사람이지만 서도 이제품도 역시나~~~,/product/34094
2016.10.13,코스흑곰,m,33세 · 지성 ·,good,"자주는 안바르지만, 한번씩 필요할때 바르면 만족스러움. 근데 퍼프쓰는게 안 익숙해서 펴서 바르는게 편할 듯. 손에 안 뭍고, 골고루 잘발라지는 건 좋아요.",/product/34094
2016.10.10,윤금희,f,51세 · 복합성 ·,best,나이가 든사람들도 추천합니당,/product/34094
2016.9.24,재식,f,24세 · 건성 ·,soso,울아빠 사드렸는데 잿빛이...ㅠㅠㅠ.....ㅠㅠㅠㅠ 그래도 딸내미가 줬다고 가끔 열심히 두드리고 다니시는 우리 아빠 사랑해요ㅠㅠㅠ♡,/product/34094
2016.9.23,사사야키,m,27세 · 지성 ·,bad,*그루밍하는 남자임,/product/34094
2016.9.21,반숙,f,28세 · 복합성 ·,best,제꺼 에어쿠션 사면서 남자것도 있다길래 오빠 사다줬어요.,/product/34094
2016.9.19,Trieste,m,26세 · 복합성 ·,best,"쓰기 편하고, 커버력 좋고, 트러블도 잘 생기 지 않아 좋습니다. 자외선 차단제를 바른다는 느낌으로 몇 번 두드리고 나갑니다. 단점이라면 밖에서 쓰기엔 좀 난감하다는 건데, 요즘 은근히 이걸 밖에서 사용하는 남자들이 많이 보이덥디다.",/product/34094
2016.9.6,원럽,m,37세 · 지성 ·,best,매일 쓰는 애 인생의 동반자,/product/34094
2016.9.5,강연우,f,31세 · 지성 ·,good,남친에게 선물로 사주었음.,/product/34094
2016.9.5,bbb13,f,26세 · 중성 ·,good,작년 남자친구 생일때 선물에 같이 넣어줬던 제품,/product/34094
2016.8.28,승찡,m,24세 · 지성 ·,bad,역시 남성용 제품들은 뭔가 귀찮은 남자들을 위해 대충 만든 감이 있다,/product/34094
2016.8.17,세라오,f,27세 · 복합성 ·,best,예랑피부는매우the love.. 여름철 썬크림을 손도 안대서 이거라도하라고 사줬는데 간편해서 그런건지 좋아서 그런건지 잘들고다니면서 톡톡하네요ㅋㅋ 덕분에 작년보다 덜 탔네요..삼년전엔 참 하얗고 뽀얗던 사람인데..휴,/product/34094
2016.8.9,뇽o0o,f,30세 · 민감성 ·,good,"어느 날 ""나도 비비나 발라볼까?"" 하더니 남친이 이걸 샀더라고요",/product/34094
2016.7.29,야망남,m,36세 · 지성 ·,bad,사용시 첫 화장이 아닌 수정용으로만 씁니다,/product/34094
2016.7.14,준서아영,f,28세 · 지성 ·,soso,남친 이거쓰는데 나쁘진않음 커버력은잘모르겠고,/product/34094
2016.7.11,theman,m,27세 · 건성 ·,best,쓰기 가장 편하다 남성제품중에. 가격도 적당하고 리필제품만 세일할때 구매하면 딱이다! 퍼프 세척만 잘해서 이용하세요! 그러나 피부가 좀 어두우신 남성분들은 밝게 느껴지실수도. 톤이 한톤이라 아쉬운분들 꾀나 계실듯.,/product/34094
2016.7.11,일일리리,m,21세 · 복합성 ·,soso,커버력 거의 없는 선쿠션? 살짝 화사..? 피부톤 보정기능은@확실히 잇음 그럼뭐해 리필안사고 다른거샀눈뎋ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,/product/34094
2016.6.12,syeekk,m,23세 · 민감성 ·,soso,그냥 쏘쏘(?),/product/34094
2016.6.10,김갑숙,m,28세 · 지성 ·,soso,피부톤 고르게 만들어주는 정도이고..,/product/34094
2016.5.29,옐로피그,f,20세 · 복합성 ·,good,이거 우리 사촌오빠 사줬는데 남자가 뭔 이런걸 쓰냐고 질색했으면서 집에 놀러가서 보니까 겁나 많이쓴 흔적이ㅋㅋ 좋다고 하더라구요ㅎ,/product/34094
2016.5.25,baejoo,f,35세 · 지성 ·,good,남동생한테 주니까 잘 쓰더라구요. 좋은 것 같아요,/product/34094
2016.5.23,려둥이,f,33세 · 복합성 ·,good,남자친구한테 선물줬는데,/product/34094
2016.5.18,쿠크리,m,33세 · 복합성 ·,best,스틱 비비쓰다가 쿠션으로 바꿧는데 아주 괜차늠ㅋㅋ,/product/34094
2016.5.10,먊먊,f,25세 · 건성 ·,best,글픽보고 아빠 오빠한테 사다줌 일단 퍼프치는데 웃음을 줬음 ㅋㅋㅋㅋ 이거 양 조절 잘해서 잘 바르면 톤보정이랑 선케어까지 잘되는듯 한군데 안 발린 것 같다고 집착하면 잿빛이 살짝 돌긴하지만 뭐 스킬의 차이인것같아서 나쁘지않아보였음 골프치러 야외나가서 선크림 바른다고 손에 묻는거 싫어했었는데 얘로 손은 안더러워져서 좋다고 했음,/product/34094
2016.5.9,Jehad,m,27세 · 복합성 ·,bad,이거 커버력 없어요,/product/34094
2016.5.1,츛츛,f,24세 · 건성 ·,soso,남자친구한테 선물 했었는데 커버력은 정말 없는거 같은데 진짜 자연스러움은 최고인거 같았다 화장을 한게 티가 별로 안나는데 피부는 매끈해져있음,/product/34094
